GEO.id,GEO.id2,GEO.display-label,HD01_VD01
Id,Id2,Geography,Estimate; Aggregate travel time to work (in minutes):
8600000US12043,12043,ZCTA5 12043,86375
8600000US12045,12045,ZCTA5 12045,2800
8600000US12046,12046,ZCTA5 12046,11245
8600000US12047,12047,ZCTA5 12047,198065
8600000US12054,12054,ZCTA5 12054,165955
8600000US12056,12056,ZCTA5 12056,32905
8600000US12057,12057,ZCTA5 12057,26130
8600000US12059,12059,ZCTA5 12059,28515
8600000US12060,12060,ZCTA5 12060,20105
8600000US12061,12061,ZCTA5 12061,95215
8600000US12062,12062,ZCTA5 12062,23830
8600000US12063,12063,ZCTA5 12063,6425
8600000US12064,12064,ZCTA5 12064,7520
8600000US12065,12065,ZCTA5 12065,538165
8600000US12066,12066,ZCTA5 12066,28200
8600000US12067,12067,ZCTA5 12067,20075
8600000US12068,12068,ZCTA5 12068,28550
8600000US12072,12072,ZCTA5 12072,29050
8600000US12074,12074,ZCTA5 12074,39260
8600000US12075,12075,ZCTA5 12075,28580
8600000US12076,12076,ZCTA5 12076,19225
8600000US12086,12086,ZCTA5 12086,17145
8600000US12087,12087,ZCTA5 12087,15000
8600000US12090,12090,ZCTA5 12090,83090
8600000US12092,12092,ZCTA5 12092,7725
8600000US12093,12093,ZCTA5 12093,21415
8600000US12094,12094,ZCTA5 12094,45255
8600000US12095,12095,ZCTA5 12095,115435
8600000US12106,12106,ZCTA5 12106,32315
8600000US12110,12110,ZCTA5 12110,200315
8600000US12116,12116,ZCTA5 12116,17245
8600000US12118,12118,ZCTA5 12118,168220
8600000US12121,12121,ZCTA5 12121,25115
8600000US12123,12123,ZCTA5 12123,73670
8600000US12124,12124,ZCTA5 12124,6855
8600000US12125,12125,ZCTA5 12125,15835
8600000US12130,12130,ZCTA5 12130,15600
8600000US12134,12134,ZCTA5 12134,54205
8600000US12136,12136,ZCTA5 12136,8265
8600000US12138,12138,ZCTA5 12138,50120
8600000US12139,12139,ZCTA5 12139,2180
8600000US12143,12143,ZCTA5 12143,56995
8600000US12144,12144,ZCTA5 12144,193415
8600000US12148,12148,ZCTA5 12148,48480
8600000US12150,12150,ZCTA5 12150,12680
8600000US12153,12153,ZCTA5 12153,16065
8600000US12154,12154,ZCTA5 12154,37250
8600000US12156,12156,ZCTA5 12156,10985
8600000US12157,12157,ZCTA5 12157,57295
